id,label,url,brand,name,price,skin type,concern,image url
526,cleanser,https://www.myntra.com/face-wash-and-cleanser/neutrogena/neutrogena-set-of-2-deep-clean-foam-cleanser-100-gm/7037185/buy,neutrogena,set of 2 deep clean foam cleanser 100 gm,₹ 484,oily,"anti-pollution,pore care,excess oil","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7037185/2018/7/31/2c4c62a0-150b-47ae-bdcf-f3cd81d61d8c1533027717627-Neutrogena-Unisex-Pack-Of-2-Deep-Clean-Foam-Cleanser-100-gm-8181533027717581-1.jpg"
527,cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-set-of-body-wash--face-wash/13538454/buy,biotique,set of body wash & face wash,₹ 273,all,"dull skin,uneven skin tone,daily use","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13538454/2021/1/29/f440b362-b91e-4a64-a9e9-586b9faa01671611922212978BiotiqueSetOfCreamLipBalmFaceMoisturisersBiotiqueUnisexFaceW1.jpg"
528,cleanser,https://www.myntra.com/face-wash-and-cleanser/deyomkar/deyomkar-natural-herbal-neem-facewash--200-ml/15336042/buy,deyomkar,natural herbal neem facewash -200 ml,₹ 114,all,"daily use,anti-pollution,excess oil","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15336042/2022/2/10/26a18bd9-69df-4769-9d47-9ba7006cdf731644483985549DeyomkarNaturalHerbalNeemFacewash-200ml1.jpg"
529,cleanser,https://www.myntra.com/face-wash-and-cleanser/beardo/beardo-men-skin-tightening-hemp-foam-face-wash-100-ml/14665222/buy,beardo,men skin tightening hemp foam face wash 100 ml,₹ 271,all,"pore care,dull skin,skin inflammation","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14665222/2022/9/20/cc04b87c-84bf-411a-b11d-dd5fff043e3a1663672866581BEARDOMenSkinTighteningHempFoamFaceWash100ml1.jpg"
530,cleanser,https://www.myntra.com/face-wash-and-cleanser/kaya-skin-clinic/kaya-skin-clinic-unisex-set-of-acne-free-purifying-cleanser--toner/13537360/buy,kaya skin clinic,unisex set of acne free purifying cleanser & toner,₹ 560,oily,"acne,blemishes,excess oil,blackheads,whiteheads","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13537360/2021/1/28/07343fe3-2ac2-4d00-87f1-3c81da9f81f71611818917566-Kaya-Skin-Clinic-Unisex-Face-Wash-and-Cleanser-6271611818917-1.jpg"
531,cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-set-of-tan-removal-scrub--white-advanced-fairness-sustainable-face-wash/15060718/buy,biotique,set of tan removal scrub & white advanced fairness sustainable face wash,₹ 247,all,"dull skin,uneven skin tone,daily use","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15060718/2021/8/13/d51b9499-1589-4973-b06e-8b22ee0172311628854274347LOrealParisSetofExtraordinaryOilHairRevitalift15HyaluronicAc1.jpg"
532,cleanser,https://www.myntra.com/face-wash-and-cleanser/neutrogena/neutrogena-set-of--deep-clean-foam-cleanser--ultra-sheer-sunblock-spf50/9653903/buy,neutrogena,set of deep clean foam cleanser & ultra sheer sunblock spf50,₹ 454,oily,"anti-pollution,pore care,excess oil","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9653903/2019/5/13/5bba2de5-9d79-4d02-afad-5d23636bdcc51557749600607--Neutrogena-Set-Of--Deep-Clean-Foam-Cleanser--Ultra-Sheer-Su-1.jpg"
533,cleanser,https://www.myntra.com/face-wash-and-cleanser/good-vibes/good-vibes-brightening-papaya-face-wash---200-ml/15283632/buy,good vibes,brightening papaya face wash - 200 ml,₹ 246,all,"hydration,dull skin,excess oil","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15283632/2022/2/10/ad88ae29-ea18-455a-8617-8c7ad44367221644483736857GoodVibesBrighteningPapayaFaceWash-200ml1.jpg"
534,cleanser,https://www.myntra.com/face-wash-and-cleanser/garnier/garnier-skin-naturals-pack-of-2-gentle-orange-fruit-water-soothing-fash-wash/9465089/buy,garnier,skin naturals pack of 2 gentle orange fruit water soothing fash wash,₹ 118,normal,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9465089/2019/5/2/5d4be7ab-516a-49ff-a018-b134aab204c71556787672251-Garnier-Women-Face-Wash-and-Cleanser-8771556787672037-1.jpg"
535,cleanser,https://www.myntra.com/face-wash-and-cleanser/rdk/rdk-unisex-chandan-pata-with-original-sandalwood-stick/15378088/buy,rdk,unisex chandan pata with original sandalwood stick,₹ 1199,all,"tan removal,hydration,softening,smoothening","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15378088/2021/9/6/744b97f4-8be3-4133-8e02-5054fc7ee9a91630932288964ChandanPatawithOriginalSandalwoodStick1.jpg"
